complaint_id,customer_id,branch_id,complaint_date,complaint_type,severity,complaint_status,resolved_date,service_cost
CP000326,C00849,B017,2026-04-16,App/Login,High,Open,,69.96
CP000327,C00146,B016,2026-07-20,Charges/Fees,Low,Closed,2026-07-23,657.99
CP000328,C00980,B013,2024-09-05,Unauthorized Transaction,Low,Closed,2024-09-05,369.52
CP000329,C00517,B006,2024-02-15,Loan Service,Medium,Closed,2024-02-23,686.87
CP000330,C00450,B009,2024-12-18,Loan Service,Medium,Closed,2024-12-25,426.68
CP000331,C00611,B011,2025-03-11,Unauthorized Transaction,Low,Closed,2025-03-15,583.78
CP000332,C00298,B009,2026-04-09,Loan Service,Low,Open,,477.79
CP000333,C00231,B009,2025-11-27,Account Service,High,Open,,135.77
CP000334,C00088,B020,2025-04-09,Account Service,Medium,Open,,583.01
CP000335,C00194,B020,2025-01-15,Charges/Fees,Medium,Closed,2025-01-25,539.72
CP000336,C00029,B017,2024-12-15,Account Service,High,Closed,2024-12-19,621.71
CP000337,C00520,B001,2025-12-12,App/Login,Low,Closed,2025-12-17,88.84
CP000338,C00576,B012,2024-01-09,Loan Service,Low,Open,,510.53
CP000339,C00482,B025,2025-01-30,App/Login,Medium,Closed,2025-01-30,58.27
CP000340,C00890,B013,2025-12-22,ATM,High,Closed,2025-12-23,572.55
CP000341,C00775,B012,2026-03-16,Account Service,High,Closed,2026-04-07,511.73
CP000342,C00341,B017,2024-04-20,Unauthorized Transaction,High,Closed,2024-05-10,587.91
CP000343,C00920,B006,2024-05-03,Unauthorized Transaction,Critical,Closed,2024-05-13,490.17
CP000344,C00584,B003,2025-06-05,ATM,Low,Closed,2025-06-11,102.96
CP000345,C00335,B005,2024-09-17,Charges/Fees,Medium,Closed,2024-09-20,72.04
CP000346,C00776,B022,2024-09-29,Unauthorized Transaction,Medium,Closed,2024-10-03,504.9
CP000347,C00140,B017,2024-06-15,Loan Service,Low,Closed,2024-06-23,367.2
CP000348,C00378,B021,2025-05-07,Loan Service,Medium,Closed,2025-05-14,634.22
CP000349,C00410,B006,2025-06-05,Loan Service,Low,Closed,2025-06-13,55.47
CP000350,C00483,B005,2025-01-05,Unauthorized Transaction,Medium,Closed,2025-01-07,388.59
CP000351,C00899,B014,2026-03-26,Account Service,Medium,Closed,2026-04-06,445.34
CP000352,C00232,B019,2026-03-14,App/Login,Medium,Closed,2026-03-16,309.04
CP000353,C00294,B020,2024-05-09,App/Login,Low,Closed,2024-05-09,313.51
CP000354,C00763,B001,2026-03-28,App/Login,High,Closed,2026-04-02,549.1
CP000355,C00243,B007,2025-08-09,Unauthorized Transaction,Low,Open,,405.06
CP000356,C00921,B013,2025-06-18,Charges/Fees,Low,Closed,2025-06-21,333.05
CP000357,C00233,B019,2025-07-19,Loan Service,Medium,Closed,2025-07-25,313.11
CP000358,C00835,B022,2024-09-21,Account Service,Low,Closed,2024-09-29,301.93
CP000359,C00437,B023,2024-07-11,Account Service,Medium,Closed,2024-07-19,349.39
CP000360,C00596,B008,2026-05-22,Loan Service,Low,Closed,2026-06-01,305.29
CP000361,C00985,B018,2025-05-21,ATM,Low,Closed,2025-05-26,686.08
CP000362,C00772,B003,2026-01-15,Account Service,High,Closed,2026-01-21,589.92
CP000363,C00673,B005,2024-11-10,Account Service,Medium,Closed,2024-11-21,148.41
CP000364,C00418,B022,2025-08-31,Unauthorized Transaction,Low,Closed,2025-09-04,617.49
CP000365,C00698,B010,2025-09-08,ATM,Medium,Open,,328.52
CP000366,C00759,B007,2024-07-17,ATM,Medium,Open,,332.41
CP000367,C00111,B020,2025-08-23,Loan Service,Low,Closed,2025-09-03,629.3
CP000368,C00042,B010,2026-07-05,App/Login,Low,Open,,330.91
CP000369,C00948,B021,2024-06-20,ATM,Low,Closed,2024-06-20,179.1
CP000370,C00920,B006,2024-08-12,Loan Service,Medium,Closed,2024-08-12,451.29
CP000371,C00098,B001,2025-06-19,Unauthorized Transaction,Low,Closed,2025-06-28,84.05
CP000372,C00918,B021,2026-08-30,Account Service,High,Closed,2026-09-22,251.21
CP000373,C00755,B021,2025-04-16,Account Service,Low,Closed,2025-04-22,87.63
CP000374,C00245,B013,2024-03-14,Card Issue,Medium,Open,,225.39
CP000375,C00121,B015,2025-09-21,App/Login,Medium,Closed,2025-09-26,347.23
CP000376,C00340,B021,2025-01-18,Loan Service,Low,Closed,2025-01-29,694.57
CP000377,C00392,B017,2025-07-10,Loan Service,Medium,Open,,391.24
CP000378,C00164,B024,2024-08-31,Card Issue,Critical,Closed,2024-09-05,402.79
CP000379,C00746,B012,2025-12-06,Card Issue,Low,Open,,691.73
CP000380,C00660,B017,2024-04-09,Card Issue,Medium,Closed,2024-04-13,519.79
CP000381,C00655,B025,2024-08-23,Unauthorized Transaction,Medium,Closed,2024-09-03,348.55
CP000382,C00549,B012,2025-05-27,Card Issue,Medium,Open,,151.4
CP000383,C00268,B007,2025-02-26,Account Service,Low,Closed,2025-03-06,93.96
CP000384,C00044,B004,2025-09-20,App/Login,Medium,Open,,291.97
CP000385,C00150,B025,2026-01-09,Card Issue,Low,Closed,2026-01-19,643.69
CP000386,C00031,B013,2026-01-15,Unauthorized Transaction,High,Closed,2026-02-08,617.31
CP000387,C00377,B009,2024-12-06,Unauthorized Transaction,Medium,Closed,2024-12-14,122.38
CP000388,C00139,B011,2026-07-19,Unauthorized Transaction,Medium,Open,,640.38
CP000389,C00055,B008,2025-04-18,Unauthorized Transaction,High,Closed,2025-05-12,588.89
CP000390,C00277,B012,2025-01-08,Unauthorized Transaction,High,Closed,2025-01-20,347.89
CP000391,C00524,B014,2025-06-26,Loan Service,High,Closed,2025-06-27,207.58
CP000392,C00080,B023,2024-11-02,Card Issue,High,Closed,2024-11-23,554.39
CP000393,C00884,B019,2025-11-29,Card Issue,Low,Closed,2025-12-04,693.12
CP000394,C00646,B003,2025-07-27,App/Login,High,Open,,556.11
CP000395,C00588,B024,2025-03-17,Card Issue,Low,Closed,2025-03-18,159.96
CP000396,C00084,B011,2024-07-09,Unauthorized Transaction,High,Open,,581.89
CP000397,C00704,B003,2025-07-31,Loan Service,Medium,Closed,2025-08-02,368.0
CP000398,C00513,B014,2026-08-19,Account Service,Medium,Closed,2026-08-22,209.94
CP000399,C00500,B015,2024-02-25,ATM,High,Closed,2024-03-16,141.08
CP000400,C00371,B018,2026-03-13,Loan Service,Medium,Closed,2026-03-17,631.56
CP000401,C00684,B017,2024-07-23,Loan Service,Low,Closed,2024-08-03,379.49
CP000402,C00013,B007,2025-06-17,Card Issue,Critical,Closed,2025-06-20,958.94
CP000403,C00158,B004,2026-01-16,Loan Service,Low,Closed,2026-01-20,363.01
CP000404,C00023,B008,2025-10-16,Loan Service,Low,Closed,2025-10-23,131.82
CP000405,C00357,B013,2025-04-10,Charges/Fees,High,Closed,2025-04-17,278.44
CP000406,C00907,B014,2024-05-18,ATM,Low,Closed,2024-05-21,77.61
CP000407,C00547,B002,2024-09-09,Account Service,Medium,Closed,2024-09-16,250.02
CP000408,C00166,B015,2025-09-20,App/Login,Medium,Closed,2025-10-01,152.29
CP000409,C00304,B003,2025-09-13,Loan Service,Low,Open,,374.0
CP000410,C00773,B001,2026-04-22,Unauthorized Transaction,Low,Closed,2026-04-30,601.78
CP000411,C00478,B015,2026-03-28,Card Issue,High,Closed,2026-04-12,155.95
CP000412,C00337,B017,2025-04-02,Unauthorized Transaction,Medium,Closed,2025-04-07,189.28
CP000413,C00248,B018,2025-05-19,Account Service,Medium,Closed,2025-05-20,508.3
CP000414,C00702,B006,2024-04-04,Charges/Fees,Low,Closed,2024-04-05,321.21
CP000415,C00978,B018,2025-02-03,Card Issue,Medium,Closed,2025-02-07,204.8
CP000416,C00797,B002,2024-01-24,Charges/Fees,Medium,Closed,2024-01-24,448.93
CP000417,C00326,B009,2025-06-15,Charges/Fees,Critical,Open,,1027.95
CP000418,C00330,B010,2026-05-30,Account Service,Low,Closed,2026-06-11,414.14
CP000419,C00231,B009,2024-01-09,Loan Service,Critical,Open,,588.56
CP000420,C00876,B003,2026-01-18,Charges/Fees,Low,Open,,630.71
CP000421,C00398,B018,2024-05-16,Unauthorized Transaction,High,Closed,2024-06-02,540.27
CP000422,C00877,B011,2026-05-30,Account Service,Low,Closed,2026-05-30,103.34
CP000423,C00303,B006,2024-07-05,Card Issue,Low,Closed,2024-07-06,619.38
CP000424,C00552,B017,2024-04-22,Charges/Fees,Low,Closed,2024-04-27,298.11
CP000425,C00291,B021,2026-04-02,Account Service,Medium,Closed,2026-04-09,162.44
CP000426,C00600,B015,2026-06-02,Account Service,High,Closed,2026-06-11,365.92
CP000427,C00119,B012,2026-07-06,Card Issue,Medium,Closed,2026-07-06,462.99
CP000428,C00679,B001,2026-01-31,Unauthorized Transaction,Medium,Closed,2026-02-01,356.11
CP000429,C00903,B011,2024-09-16,ATM,Low,Closed,2024-09-24,605.9
CP000430,C00780,B013,2024-07-09,Account Service,Medium,Closed,2024-07-18,393.14
CP000431,C00255,B011,2026-04-22,Loan Service,Medium,Closed,2026-05-02,145.58
CP000432,C00730,B002,2025-10-29,Charges/Fees,Medium,Closed,2025-11-01,673.74
CP000433,C00917,B011,2024-05-01,Loan Service,High,Closed,2024-05-24,62.12
CP000434,C00565,B011,2024-10-07,Account Service,Medium,Closed,2024-10-19,240.25
CP000435,C00969,B019,2025-05-25,Account Service,Medium,Closed,2025-06-04,268.92
CP000436,C00872,B008,2024-07-15,Card Issue,Medium,Closed,2024-07-26,447.22
CP000437,C00122,B016,2025-08-08,ATM,Medium,Closed,2025-08-11,380.82
CP000438,C00663,B014,2025-04-22,Card Issue,Medium,Open,,407.25
CP000439,C00819,B006,2026-02-08,Loan Service,Medium,Closed,2026-02-18,666.27
CP000440,C00144,B005,2025-08-24,Account Service,Low,Closed,2025-08-25,209.39
CP000441,C00204,B021,2024-10-17,Account Service,Low,Closed,2024-10-21,695.27
CP000442,C00690,B020,2024-06-19,Account Service,Medium,Closed,2024-06-25,125.12
CP000443,C00567,B018,2025-09-09,ATM,High,Closed,2025-09-25,596.37
CP000444,C00834,B013,2025-11-13,Account Service,Medium,Closed,2025-11-17,137.59
CP000445,C00487,B007,2025-08-11,Card Issue,High,Closed,2025-08-31,366.59
CP000446,C00516,B023,2024-10-26,Unauthorized Transaction,High,Closed,2024-11-13,55.27
CP000447,C00881,B001,2025-01-27,Card Issue,High,Closed,2025-02-14,399.92
CP000448,C00891,B025,2025-07-05,ATM,Medium,Closed,2025-07-15,620.95
CP000449,C00201,B010,2024-03-14,ATM,Critical,Open,,265.56
CP000450,C00380,B025,2026-06-09,Charges/Fees,Medium,Closed,2026-06-16,426.72
CP000451,C00818,B006,2024-02-03,Account Service,Low,Closed,2024-02-09,379.61
CP000452,C00238,B024,2024-02-07,App/Login,Medium,Closed,2024-02-12,667.96
CP000453,C00265,B002,2026-06-07,Account Service,High,Closed,2026-06-09,489.82
CP000454,C00534,B004,2024-10-31,Loan Service,Medium,Closed,2024-11-08,359.18
CP000455,C00937,B002,2025-11-02,Loan Service,High,Closed,2025-11-19,382.66
CP000456,C00667,B019,2026-01-15,Loan Service,Low,Closed,2026-01-24,267.6
CP000457,C00342,B003,2024-11-09,Account Service,Low,Closed,2024-11-12,681.53
CP000458,C00158,B004,2026-01-25,Charges/Fees,Low,Closed,2026-02-03,493.28
CP000459,C00730,B002,2024-03-04,ATM,Low,Closed,2024-03-13,414.17
CP000460,C00790,B001,2024-09-24,App/Login,High,Closed,2024-10-11,148.84
CP000461,C00202,B015,2025-10-29,Loan Service,Critical,Closed,2025-11-01,185.98
CP000462,C00802,B013,2026-06-18,Account Service,Medium,Closed,2026-06-19,77.76
CP000463,C00520,B001,2025-04-17,Charges/Fees,Medium,Closed,2025-04-23,268.43
CP000464,C00617,B015,2024-12-09,Unauthorized Transaction,Low,Closed,2024-12-12,321.72
CP000465,C00086,B016,2026-03-02,Account Service,Low,Open,,157.06
CP000466,C00939,B020,2026-08-05,ATM,Low,Closed,2026-08-12,54.84
CP000467,C00978,B018,2025-08-01,Loan Service,Medium,Closed,2025-08-06,428.23
CP000468,C00483,B005,2024-05-11,App/Login,Critical,Closed,2024-05-30,633.86
CP000469,C00160,B010,2024-10-30,Charges/Fees,High,Open,,106.82
CP000470,C00566,B020,2025-10-09,Unauthorized Transaction,Low,Closed,2025-10-14,653.47
CP000471,C00988,B013,2024-09-09,ATM,Medium,Closed,2024-09-13,349.89
CP000472,C00176,B015,2026-07-11,Card Issue,Low,Closed,2026-07-23,297.44
CP000473,C00140,B017,2026-06-05,Card Issue,Low,Open,,75.53
CP000474,C00242,B025,2025-07-13,Account Service,Low,Closed,2025-07-22,147.79
CP000475,C00338,B015,2026-05-14,Account Service,Medium,Open,,56.76
CP000476,C00104,B012,2025-10-10,Charges/Fees,High,Open,,608.08
CP000477,C00602,B003,2025-06-15,App/Login,High,Open,,478.45
CP000478,C00331,B022,2024-08-20,Loan Service,Low,Closed,2024-09-01,620.33
CP000479,C00756,B012,2026-01-05,Account Service,Medium,Closed,2026-01-15,175.73
CP000480,C00232,B019,2026-05-07,Charges/Fees,Medium,Closed,2026-05-17,74.6
CP000481,C00065,B005,2025-01-03,ATM,Medium,Closed,2025-01-12,397.58
CP000482,C00753,B023,2026-02-28,Loan Service,Low,Closed,2026-03-11,490.37
CP000483,C00949,B001,2024-03-11,Charges/Fees,Medium,Closed,2024-03-22,170.61
CP000484,C00587,B009,2025-05-23,Card Issue,High,Closed,2025-06-07,676.51
CP000485,C00046,B015,2026-02-02,Card Issue,Low,Closed,2026-02-08,319.56
CP000486,C00140,B017,2025-02-16,Charges/Fees,Low,Closed,2025-02-18,172.99
CP000487,C00772,B003,2026-01-18,Card Issue,Low,Closed,2026-01-25,197.39
CP000488,C00336,B018,2024-02-28,Unauthorized Transaction,High,Closed,2024-03-08,197.78
CP000489,C00738,B017,2024-07-09,Charges/Fees,Low,Closed,2024-07-18,302.71
CP000490,C00203,B024,2026-04-29,ATM,Medium,Closed,2026-05-05,551.18
CP000491,C00864,B016,2024-02-17,Account Service,High,Closed,2024-02-18,127.12
CP000492,C00204,B021,2024-04-06,Loan Service,Medium,Open,,662.19
CP000493,C00667,B019,2026-03-30,Loan Service,Low,Closed,2026-04-10,449.31
CP000494,C00951,B025,2026-01-26,Charges/Fees,Medium,Closed,2026-02-06,421.75
CP000495,C00708,B016,2024-03-05,Charges/Fees,Medium,Open,,475.48
CP000496,C00882,B025,2024-01-30,ATM,Medium,Open,,379.94
CP000497,C00255,B011,2026-06-03,Unauthorized Transaction,High,Closed,2026-06-27,397.46
CP000498,C00335,B005,2024-10-14,Charges/Fees,Low,Closed,2024-10-21,639.53
CP000499,C00168,B024,2024-04-02,Unauthorized Transaction,Low,Closed,2024-04-05,96.66
CP000500,C00178,B024,2026-03-02,Card Issue,Low,Closed,2026-03-06,210.25
CP000501,C00533,B007,2025-02-28,Card Issue,High,Closed,2025-03-20,451.05
CP000502,C00078,B018,2026-03-15,ATM,Medium,Closed,2026-03-22,481.9
CP000503,C00640,B006,2025-06-19,Account Service,Medium,Closed,2025-06-24,544.94
CP000504,C00678,B016,2026-01-17,Unauthorized Transaction,Medium,Closed,2026-01-26,58.19
CP000505,C00114,B023,2024-12-30,Account Service,Medium,Closed,2025-01-07,284.81
CP000506,C00646,B003,2025-09-18,Account Service,Medium,Closed,2025-09-23,536.38
CP000507,C00669,B014,2026-06-29,Account Service,Medium,Closed,2026-07-09,408.64
CP000508,C00821,B001,2025-01-16,Card Issue,Medium,Closed,2025-01-21,557.75
CP000509,C00686,B007,2024-08-03,Unauthorized Transaction,Medium,Closed,2024-08-06,311.69
CP000510,C00543,B020,2026-07-26,Unauthorized Transaction,Medium,Open,,687.15
CP000511,C00992,B014,2025-10-31,Card Issue,Low,Closed,2025-11-01,220.36
CP000512,C00261,B018,2026-06-13,ATM,Low,Closed,2026-06-24,348.04
CP000513,C00882,B025,2025-07-16,Loan Service,Low,Closed,2025-07-16,300.98
CP000514,C00490,B010,2026-06-26,Charges/Fees,High,Closed,2026-06-30,695.52
CP000515,C00798,B008,2026-03-12,Unauthorized Transaction,Medium,Closed,2026-03-13,223.0
CP000516,C00258,B001,2024-09-05,Unauthorized Transaction,High,Closed,2024-09-07,537.83
CP000517,C00152,B007,2025-04-18,Loan Service,Medium,Closed,2025-04-27,287.06
CP000518,C00605,B015,2026-06-06,ATM,Low,Closed,2026-06-11,494.19
CP000519,C00262,B011,2025-10-25,Account Service,High,Closed,2025-10-28,251.63
CP000520,C00718,B005,2024-01-02,App/Login,Medium,Closed,2024-01-10,284.12
CP000521,C00315,B006,2024-10-13,Loan Service,Medium,Open,,276.51
CP000522,C00704,B003,2025-10-27,App/Login,High,Closed,2025-11-17,348.26
CP000523,C00712,B019,2025-07-18,Loan Service,Critical,Closed,2025-07-29,663.75
CP000524,C00052,B001,2024-10-19,Account Service,Medium,Closed,2024-10-24,121.38
CP000525,C00643,B024,2026-03-13,Account Service,Medium,Closed,2026-03-13,270.62
CP000526,C00802,B013,2024-03-16,Charges/Fees,High,Closed,2024-03-24,557.76
CP000527,C00346,B015,2024-06-01,Loan Service,Medium,Open,,332.1
CP000528,C00958,B016,2026-01-10,Loan Service,High,Closed,2026-01-27,421.54
CP000529,C00481,B002,2024-03-23,Card Issue,Low,Closed,2024-04-01,505.03
CP000530,C00157,B023,2024-12-21,Charges/Fees,Low,Closed,2024-12-26,211.69
CP000531,C00550,B025,2024-02-15,Card Issue,Low,Closed,2024-02-24,361.57
CP000532,C00417,B018,2024-06-28,App/Login,Low,Closed,2024-07-04,193.26
CP000533,C00670,B020,2026-01-08,Card Issue,Low,Closed,2026-01-13,605.06
CP000534,C00098,B001,2024-02-09,Charges/Fees,Medium,Closed,2024-02-10,614.65
CP000535,C00735,B007,2025-06-25,Loan Service,Medium,Closed,2025-07-02,198.16
CP000536,C00327,B003,2025-05-04,Card Issue,High,Closed,2025-05-25,383.3
CP000537,C00175,B013,2026-07-30,Card Issue,Low,Closed,2026-08-05,88.76
CP000538,C00989,B025,2024-01-06,Loan Service,Low,Closed,2024-01-14,199.37
CP000539,C00928,B010,2025-02-16,Account Service,Low,Closed,2025-02-20,199.43
CP000540,C00252,B019,2026-05-06,Unauthorized Transaction,High,Closed,2026-05-15,90.96
CP000541,C00074,B025,2025-08-27,ATM,Medium,Open,,348.83
CP000542,C00800,B009,2025-06-22,ATM,High,Closed,2025-07-03,604.88
CP000543,C00624,B001,2025-08-12,Unauthorized Transaction,Low,Closed,2025-08-22,485.97
CP000544,C00426,B015,2024-04-03,ATM,Low,Closed,2024-04-05,89.74
CP000545,C00163,B016,2026-08-29,Account Service,Low,Closed,2026-09-01,686.39
CP000546,C00470,B009,2025-08-07,App/Login,Low,Closed,2025-08-15,50.35
CP000547,C00687,B022,2026-05-18,Card Issue,Medium,Closed,2026-05-22,492.47
CP000548,C00146,B016,2024-05-03,Charges/Fees,High,Closed,2024-05-22,202.98
CP000549,C00757,B020,2026-05-27,Card Issue,Low,Closed,2026-05-28,530.01
CP000550,C00346,B015,2024-10-22,Loan Service,High,Open,,650.5
CP000551,C00636,B025,2026-07-04,Card Issue,Low,Closed,2026-07-10,338.31
CP000552,C00313,B017,2026-03-25,ATM,High,Closed,2026-03-30,353.18
CP000553,C00312,B017,2025-04-01,Charges/Fees,Low,Closed,2025-04-09,140.83
CP000554,C00281,B016,2026-07-20,Loan Service,Medium,Closed,2026-07-20,325.08
CP000555,C00085,B012,2024-12-03,Unauthorized Transaction,Low,Closed,2024-12-09,664.54
CP000556,C00108,B020,2024-06-03,Charges/Fees,Medium,Closed,2024-06-05,98.63
CP000557,C00078,B018,2026-07-31,Account Service,Medium,Closed,2026-08-12,175.48
CP000558,C00633,B019,2024-05-25,ATM,High,Closed,2024-06-18,379.63
CP000559,C00607,B004,2025-05-19,App/Login,Low,Open,,202.98
CP000560,C00436,B023,2024-10-02,Account Service,Medium,Closed,2024-10-13,541.2
CP000561,C00479,B021,2026-01-23,Unauthorized Transaction,Low,Closed,2026-02-01,541.29
CP000562,C00906,B006,2024-01-17,Account Service,Medium,Closed,2024-01-28,127.63
CP000563,C00199,B020,2024-03-18,App/Login,Low,Closed,2024-03-27,165.89
CP000564,C00635,B005,2025-11-16,Unauthorized Transaction,Medium,Closed,2025-11-24,435.36
CP000565,C00522,B012,2026-08-26,Unauthorized Transaction,Medium,Closed,2026-09-01,213.23
CP000566,C00404,B019,2026-03-13,App/Login,High,Closed,2026-03-20,625.43
CP000567,C00518,B013,2024-04-05,Unauthorized Transaction,Low,Closed,2024-04-08,335.85
CP000568,C00989,B025,2026-01-22,Unauthorized Transaction,Medium,Closed,2026-01-22,259.33
CP000569,C00029,B017,2025-12-09,Account Service,High,Closed,2025-12-19,245.34
CP000570,C00162,B004,2026-01-18,Card Issue,Medium,Open,,432.07
CP000571,C00596,B008,2026-08-29,Charges/Fees,Medium,Closed,2026-09-05,135.11
CP000572,C00214,B018,2025-10-06,App/Login,Medium,Closed,2025-10-08,674.67
CP000573,C00813,B024,2026-06-15,Charges/Fees,Medium,Closed,2026-06-17,226.3
CP000574,C00235,B002,2025-07-04,Unauthorized Transaction,Medium,Closed,2025-07-13,523.51
CP000575,C00142,B003,2024-07-30,Charges/Fees,Low,Closed,2024-07-30,648.99
CP000576,C00493,B008,2025-10-26,App/Login,Low,Closed,2025-11-01,432.59
CP000577,C00944,B011,2024-12-14,Charges/Fees,High,Closed,2024-12-17,622.32
CP000578,C00993,B011,2025-07-17,Charges/Fees,Low,Open,,321.07
CP000579,C00794,B016,2025-11-27,Account Service,High,Closed,2025-12-07,482.7
CP000580,C00368,B014,2024-01-20,Account Service,Medium,Closed,2024-01-30,427.87
CP000581,C00519,B025,2024-08-26,Account Service,Medium,Closed,2024-09-05,291.66
CP000582,C00530,B012,2024-11-20,Charges/Fees,Low,Closed,2024-12-02,486.33
CP000583,C00417,B018,2025-09-10,Loan Service,Low,Closed,2025-09-21,112.07
CP000584,C00269,B024,2025-02-04,App/Login,High,Closed,2025-02-18,559.16
CP000585,C00421,B021,2024-02-21,Charges/Fees,Medium,Closed,2024-02-24,438.77
CP000586,C00311,B013,2024-12-23,Charges/Fees,Low,Closed,2024-12-26,51.56
CP000587,C00933,B016,2026-05-01,Account Service,Low,Closed,2026-05-03,588.83
CP000588,C00694,B015,2024-04-28,Card Issue,Low,Closed,2024-04-30,243.49
CP000589,C00506,B023,2024-03-29,Account Service,Medium,Open,,698.42
CP000590,C00411,B004,2025-09-02,Account Service,Medium,Open,,221.43
CP000591,C00569,B023,2025-12-15,Account Service,Low,Open,,444.32
CP000592,C00130,B022,2024-04-29,Unauthorized Transaction,Medium,Closed,2024-05-07,592.52
CP000593,C00831,B024,2024-07-22,Card Issue,Low,Closed,2024-08-03,342.76
CP000594,C00826,B012,2024-11-29,Loan Service,Medium,Open,,435.1
CP000595,C00282,B005,2025-10-09,Account Service,Medium,Closed,2025-10-14,411.89
CP000596,C00191,B024,2024-06-07,Card Issue,High,Closed,2024-07-01,315.77
CP000597,C00153,B008,2025-12-14,Loan Service,High,Closed,2026-01-06,71.84
CP000598,C00666,B013,2025-09-26,Account Service,Low,Closed,2025-10-01,685.04
CP000599,C00934,B020,2025-12-03,Charges/Fees,Medium,Closed,2025-12-06,292.87
CP000600,C00908,B008,2024-11-21,Loan Service,Low,Closed,2024-11-30,546.75
CP000601,C00417,B018,2026-01-14,Loan Service,Low,Closed,2026-01-17,685.53
CP000602,C00360,B021,2025-09-28,Charges/Fees,Low,Closed,2025-10-06,253.54
CP000603,C00647,B008,2024-04-06,App/Login,Medium,Closed,2024-04-13,396.21
CP000604,C00550,B025,2025-07-17,App/Login,Medium,Closed,2025-07-21,512.08
CP000605,C00300,B006,2026-02-01,Account Service,Medium,Open,,473.84
CP000606,C00565,B011,2025-01-08,Account Service,Medium,Closed,2025-01-09,590.62
CP000607,C00945,B016,2024-11-19,App/Login,Critical,Closed,2024-12-06,543.79
CP000608,C00067,B023,2025-06-10,ATM,Medium,Closed,2025-06-15,111.07
CP000609,C00166,B015,2024-01-05,Card Issue,Medium,Closed,2024-01-09,371.59
CP000610,C00492,B025,2024-08-20,Charges/Fees,Low,Closed,2024-08-23,108.12
CP000611,C00924,B013,2024-01-25,Card Issue,High,Closed,2024-01-31,220.37
CP000612,C00679,B001,2024-07-14,Charges/Fees,Low,Closed,2024-07-15,394.15
CP000613,C00483,B005,2024-10-02,Account Service,Low,Closed,2024-10-07,245.23
CP000614,C00837,B007,2026-02-26,Charges/Fees,Low,Closed,2026-03-03,233.99
CP000615,C00176,B015,2025-04-01,Charges/Fees,Low,Closed,2025-04-12,436.74
CP000616,C00032,B004,2026-07-28,Card Issue,Medium,Closed,2026-07-30,459.91
CP000617,C00194,B020,2026-04-24,Account Service,Low,Closed,2026-05-05,318.7
CP000618,C00212,B025,2025-11-11,Account Service,Low,Closed,2025-11-15,81.0
CP000619,C00586,B015,2026-03-17,Card Issue,Medium,Closed,2026-03-25,413.06
CP000620,C00661,B019,2024-11-15,Charges/Fees,Medium,Closed,2024-11-27,235.33
CP000621,C00712,B019,2026-02-27,Account Service,High,Closed,2026-03-12,432.33
CP000622,C00999,B012,2026-07-26,ATM,High,Closed,2026-08-14,184.31
CP000623,C00043,B025,2025-07-04,Loan Service,Medium,Closed,2025-07-11,104.92
CP000624,C00514,B014,2025-11-01,Charges/Fees,Low,Closed,2025-11-05,518.04
CP000625,C00739,B020,2024-01-01,Charges/Fees,Medium,Closed,2024-01-03,330.19
CP000626,C00517,B006,2026-06-22,Card Issue,Low,Closed,2026-06-23,99.17
CP000627,C00332,B012,2026-01-16,Unauthorized Transaction,High,Closed,2026-01-18,464.63
CP000628,C00418,B022,2024-09-10,App/Login,Medium,Closed,2024-09-14,117.09
CP000629,C00268,B007,2025-10-12,Account Service,Low,Closed,2025-10-24,117.05
CP000630,C00236,B012,2024-01-08,Account Service,Low,Closed,2024-01-15,399.44
CP000631,C00609,B017,2025-09-16,Account Service,Medium,Closed,2025-09-21,298.69
CP000632,C00296,B025,2024-12-20,Loan Service,Medium,Closed,2024-12-20,395.33
CP000633,C00336,B018,2025-01-06,App/Login,Low,Closed,2025-01-10,672.92
CP000634,C00439,B024,2025-03-19,Loan Service,Medium,Open,,253.43
CP000635,C00407,B005,2026-05-26,ATM,Medium,Closed,2026-05-26,134.26
CP000636,C00437,B023,2024-11-05,Card Issue,Medium,Closed,2024-11-06,578.04
CP000637,C00682,B021,2024-02-04,Account Service,Medium,Closed,2024-02-08,251.16
CP000638,C00561,B009,2025-12-10,Charges/Fees,Medium,Closed,2025-12-16,254.73
CP000639,C00677,B019,2024-11-11,Account Service,Low,Closed,2024-11-13,334.81
CP000640,C00641,B001,2026-01-12,Loan Service,Low,Closed,2026-01-12,86.05
CP000641,C00769,B007,2025-06-12,Loan Service,Medium,Closed,2025-06-16,668.09
CP000642,C00903,B011,2024-08-30,Charges/Fees,Medium,Closed,2024-09-09,585.19
CP000643,C00761,B014,2024-09-22,Loan Service,Medium,Closed,2024-10-04,196.53
CP000644,C00125,B012,2025-03-10,Account Service,High,Closed,2025-03-28,121.69
CP000645,C00106,B023,2025-02-06,Card Issue,Medium,Closed,2025-02-15,669.9
CP000646,C00125,B012,2024-03-18,Card Issue,High,Closed,2024-03-26,216.8
CP000647,C00161,B025,2024-11-24,Loan Service,Low,Closed,2024-12-01,569.78
CP000648,C00128,B008,2024-11-15,Loan Service,Low,Closed,2024-11-25,393.31
CP000649,C00199,B020,2024-08-05,Account Service,Medium,Open,,229.99
CP000650,C00121,B015,2026-05-09,Unauthorized Transaction,Low,Closed,2026-05-12,275.71
CP000651,C00864,B016,2025-11-29,Loan Service,High,Closed,2025-12-06,154.74
